"Version","Class","Domain","Variable Order","CDASH Variable","CDASH Variable Label","DRAFT CDASH Definition","Domain Specific","Question Text","Prompt","Type","SDTM Target","Mapping Instructions","Controlled Terminology Codelist Code","Implementation Notes"
"CDASH Model v1.3","Interventions",,"65","--HLT","High Level Term","MedDRA text description of the High Level Term from the primary path.",,,,"Char","QVAL","This information could be submitted in a SUPP--dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""--HLT"" and SUPP--.QLABEL = ""High Level Term"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains. Sponsors should include an Origin column in the SUPPQ dataset to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process. This is applicable to items using MedDRA coding. Rationale for adding coding variables to CDASH is to provide a more complete data management package. This variable could be used in the PR domain for coding. Other dictionaries can be used and the appropriate coding elements added, if appropriate, in the SUPP--.QVAL dataset."
"CDASH Model v1.3","Interventions",,"66","--HLTCD","High Level Term Code","MedDRA High Level Term code from the primary path.",,,,"Num","QVAL","This information could be submitted in a SUPP--.QVAL dataset where SUPP--.QNAM= ""--HLTCD"" and SUPP--.QLABEL=""High Level Term Code"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains. Sponsors should include an Origin in the define metadata document to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process. This is applicable to items using MedDRA coding. Rationale for adding coding variables to CDASH is to provide a more complete data management package. This variable could be used in the PR domain for coding. Other dictionaries can be used and the appropriate coding elements added, if appropriate, in the SUPP--.QVAL dataset."
"CDASH Model v1.3","Interventions",,"67","--HLGT","High Level Group Term","MedDRA text description of the High Level Group Term from the primary path.",,,,"Char","QVAL","This information could be submitted in a SUPP--dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""--HLTGT"" and SUPP--.QLABEL= ""High Level Group Term"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains. Sponsors should include an Origin column in the SUPPQ dataset to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process. This is applicable to items using MedDRA coding. Rationale for adding coding variables to CDASH is to provide a more complete data management package. This variable could be used in the PR domain for coding. Other dictionaries can be used and the appropriate coding elements added, if appropriate, in the SUPP--.QVAL dataset."
"CDASH Model v1.3","Interventions",,"68","--HLGTCD","High Level Group Term Code","MedDRA High Level Group Term code from the primary path.",,,,"Num","QVAL","This information could be submitted in a SUPP--dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""--HLTGTCD"" and SUPP--.QLABEL = ""High Level Group Term Code"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains. Sponsors should include an Origin column in the SUPPQ dataset to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process. This is applicable to items using MedDRA coding. Rationale for adding coding variables to CDASH is to provide a more complete data management package. This variable could be used in the PR domain for coding. Other dictionaries can be used and the appropriate coding elements added, if appropriate, in the SUPP--.QVAL dataset."
"CDASH Model v1.3","Interventions",,"69","--SOC","Primary System Organ Class","MedDRA primary System Organ Class (SOC) description associated with the intervention.",,,,"Char","QVAL","This information could be submitted in a SUPP--.QVAL dataset where SUPP--.QNAM = ""--SOC"" and SUPP--.QLABEL = ""Primary System Organ Class"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains. Sponsors should include an Origin in the define metadata document to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process. This is applicable to items using MedDRA coding. Rationale for adding coding variables to CDASH is to provide a more complete data management package. This variable could be used in the PR domain for coding. Other dictionaries can be used and the appropriate coding elements added, if appropriate, in the SUPP--.QVAL dataset."
"CDASH Model v1.3","Interventions",,"70","--SOCCD","Primary System Organ Class Code","MedDRA primary SOC code.",,,,"Num","QVAL","This information could be submitted in a SUPP--dataset as the value of SUPP--.QVAL where SUPP--.QNAM = ""--SOCCD"" and SUPP--.QLABEL = ""Primary System Organ Class Code"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains. Sponsors should include an Origin column in the SUPPQ dataset to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process. This is applicable to items using MedDRA coding. Rationale for adding coding variables to CDASH is to provide a more complete data management package. This variable could be used in the PR domain for coding. Other dictionaries can be used and the appropriate coding elements added, if appropriate, in the SUPP--.QVAL dataset."
"CDASH Model v1.3","Events",,"1","--YN","Any [Event]","An indication whether or not any data were collected for the event topic.",,"Has the subject had any [event topic(s)/term/name] ([study specific time frame])?; [Was/Were] (there) any [event topic(s)] (reported) ([study specific time frame])?","Any [Event Topic] ([study specific time frame])","Char",,"Does not map to an SDTM variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","C66742","This is a field that can be used on any Events CRF to indicate whether or not there are data to record. Used primarily as a data cleaning field, this provides verification that all other fields on the CRF were deliberately left blank. If the response to YES/NO is planned to be submitted in SDTM submission datasets, this CDASH variable should not be used and the appropriate CDASH variable should be used instead (e.g., --OCCUR)."
"CDASH Model v1.3","Events",,"2","--TERM","Reported Term","The topic variable for an event observation, which is the reported or prespecified name of the event.",,"What [is/was] the [event topic/term/name]?; If --DECOD (is selected), [explain/specify/provide (more) detail(s)]?","[Event Topic]; [Specify/Specify Other/Explain/Provide Details (for [Event Topic])]","Char","--TERM","Maps directly to the SDTM variable listed in the SDTM Target column.","","Typically, --TERM collects the verbatim text for an event. If the term is preprinted/prespecified, the value can be populated into the --TERM variable as a hidden field (e.g., if Headache is printed on an AE CRF, ""Headache"" should be stored in AETERM). The CDASH field --TERM can also be used to collect any free-text values linked to the sponsor-standardized value collected in the CDASH field --DECOD. For example, --DECOD may have a value of ""OTHER"" and the associated free-text event topic is collected in --TERM. In this scenario, the Item prompt ""Specify Other"" may be used."
"CDASH Model v1.3","Events",,"3","--DECOD","Dictionary-Derived Term","The dictionary or sponsor-defined standardized text description of the topic variable; --TERM; or the modified topic variable (-- MODIFY), if applicable.",,"What [is/was] the [event/event topic] (at the EPOCH/study specific time frame)?","(Standardized) [Event/Event Topic] (at the EPOCH/Study Specific Time Frame)","Char","--DECOD","Maps directly to the SDTM variable listed in the SDTM Target column. If sponsors use a dictionary to code --TERM, they should provide the dictionary name and version in the Define-XML external codelist attributes. Sponsors should include an Origin column in the define metadata document to indicate that the data was ""ASSIGNED"".","","When populated by a coding dictionary (e.g., MedDRA), Question Text and Prompt may not be applicable. This is equivalent to the Preferred Term (PT) in MedDRA. CDISC Controlled terminology (NCOMPLT) is used for the DS domain only. The CDASH field --DECOD may be used to collect standardized pre-specified values (CDISC Controlled Terminology or sponsor-defined terminology) on a CRF. The CDASH field --TERM can be used to collect any free-text values linked to the sponsor-standardized value. For example, the CDASH field --DECOD may have a value of ""OTHER"" and the associated free-text event topic is collected in the CDASH field --TERM."
"CDASH Model v1.3","Events",,"4","--CAT","Category","A grouping of topic-variable values based on user-defined characteristics.",,"What [is/was] the category (of the [--TERM/event topic])?","[Category/Category Value]; NULL","Char","--CAT","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology. This would most commonly be a heading on the CRF or screen, not a question to which the site would provide an answer. --SCAT can only be used if there is --CAT. If a question is asked, the response would typically be a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""category"" can be included as the column header. Examples are provided in the CDASHIG metadata table and in the SDTMIG."
"CDASH Model v1.3","Events",,"5","--SCAT","Subcategory","A subdivision of the --CAT values based on user-defined characteristics.",,"What [is/was] the subcategory (of the [--TERM/event topic])?","[Subcategory/Subcategory Value]; NULL","Char","--SCAT","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology. This would most commonly be a heading on the CRF or screen, not a question to which the site would provide an answer. --SCAT can only be used if there is --CAT. See examples in the CDASHIG metadata table and in the SDTMIG."
"CDASH Model v1.3","Events",,"6","--PRESP","Pre-Specified","An indication that a specific event, or group of events, is prespecified on a CRF.",,,,"Char","--PRESP","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","For prespecified events, --PRESP is a hidden field on a CRF defaulted to Y, or can be added during SDTM dataset creation. If a study collects both prespecified and free-text events, the value of --PRESP should be ""Y"" for all prespecified events and null for events reported as free text."
"CDASH Model v1.3","Events",,"7","--OCCUR","Occurrence","An indication whether the prespecified event or the group of events occurred when the occurrence of the specific event or group of events is solicited.",,"[Did/Does/Was] the subject (have) [--TERM] (after/before [study-specific time frame]) ?; [Did/Is] (the) [pre-specified --TERM/--DECOD] [occur/occurring]?","[--TERM]","Char","--OCCUR","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","If the term is preprinted/prespecified, then the value is mapped into the --TERM variable (e.g., if Headache is printed on an AE CRF, ""Headache"" should be stored in AETERM)."
"CDASH Model v1.3","Events",,"8","--REASOC","Reason for Occur Value","An explanation for why the event topic did or did not occur.",,"What [is/was] the reason the [event topic] [did/did not] [occur/happen]? What [is/was] the reason for the [event topic] occur value?","Reason [Event Topic] [(Did/Did Not) Occur]; Reason For Occur Value","Char","--REASOC","Maps directly to the SDTM variable listed in the SDTM Target column.","","The reason the event did or did not occur may be chosen from a sponsor-defined codelist (e.g., SUBJECT MISTAKE, SUBJECT REFUSED) or entered as free text. When --EASOC is used, --OCCUR must also be populated with a value of ""N"". Not used in the in AE domain."
"CDASH Model v1.3","Events",,"9","--PERF","[Observation] Performed","The variable used to indicate whether data are available, by having the site record the value as ""Yes"" or ""No"".",,"(Were/Was) (the) [event topic] [answered/done/assessed/evaluated/available]?","([event topic]) [Answered/Done/Assessed/Evaluated/Available]","Char","--STAT","This field does not map directly to an SDTM variable. May be used to populate a value into the SDTM variable --STAT to indicate when a pre-specified event was not assessed. For use with pre-specified events, when the CDASH variable --PERF=""N"", the value of the STDM variable --STAT is ""NOT DONE"". If --PERF= ""Y"", --STAT is null.","C66742","Using --PERF, a response of ""Y"" or ""N"" can be collected. A negative response can be collected as ""N"" and mapped to the --STAT variable in SDTM as ""NOT DONE"". --PERF can be used instead of --STAT when a Y/N response list is needed for implementation. Example: Were medical history conditions assessed?"
"CDASH Model v1.3","Events",,"10","--STAT","Completion Status","The variable used to indicate that data are not available, by having the site record the value as ""Not Done"".",,"Was the [event topic] not [answered/done/assessed/evaluated]?; Indicate if ([event topic] was) not [answered/assessed/done/evaluated].","Not Done","Char","--STAT","Maps directly to the SDTM variable listed in the SDTM Target column. If collected on the CRF, the Origin (column in the Define-XML) = ""CRF""; if populated by the sponsor from other sources (e.g., free text, a sponsor-defined listing for --REASND), Origin = ""DERIVED"".","C66789","A Not Done checkbox indicates the data are not available/question was not asked. Typically, there would be 1 checkbox for each prespecified event. This field can be useful when multiple questions are asked to confirm that a blank result field is intended to be blank."
"CDASH Model v1.3","Events",,"11","--REASND","Reason Not Done","An explanation for why the assessment/evaluation/question was not answered, collected, or done.",,"What [is/was] the reason that the ([data/information/sponsor-defined phrase]) was not [answered/collected/done/evaluated/assessed]?","Reason Not [Answered/Collected/Done/Evaluated/ Assessed/Available]","Char","--REASND","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology may be used. The reason the data was not done/not collected may be chosen from a select list (e.g., broken equipment, subject refused) or entered as free text. When --REASND is used, --STAT should also be populated in the SDTM dataset."
"CDASH Model v1.3","Events",,"12","--LOC","Location of Event","A description of the anatomical location relevant for the event.",,"What [is/was] the anatomical location (of the [--TERM/event topic])?","Anatomical Location","Char","--LOC","Maps directly to the SDTM variable listed in the SDTM Target column.","C74456","This may be preprinted or collected. --LOC is used only to specify the anatomical location. --LAT, --DIR, --PORTOT are used to further describe the anatomical location."
"CDASH Model v1.3","Events",,"13","--LAT","Laterality","Qualifier for anatomical location, further detailing the side of the body relevant for the event.",,"What [is/was] the side (of the anatomical location of the event)?","Side","Char","--LAT","Maps directly to the SDTM variable listed in the SDTM Target column.","C99073","Further detailing the laterality of the location of the --TERM. This may be preprinted or collected. Sponsors may collect the data using a subset list of CT on the CRF."
"CDASH Model v1.3","Events",,"14","--DIR","Directionality","Qualifier further detailing the position of the anatomical location relative to the center of the body, organ, or specimen.",,"What [is/was] the directionality (of the anatomical location)?","Directionality","Char","--DIR","Maps directly to the SDTM variable listed in the SDTM Target column.","C99074","Further detailing the directionality of the location of the --TERM (e.g., ANTERIOR, LOWER, PROXIMAL). This may be preprinted or collected. Sponsors may collect the data using a subset list of CT on the CRF."
"CDASH Model v1.3","Events",,"15","--PORTOT","Portion or Totality","Qualifier for anatomical location, further detailing the distribution (i.e., arrangement of, apportioning of).",,"What [is/was] the portion or totality of the (anatomical location) involved?","Portion or Totality","Char","--PORTOT","Maps directly to the SDTM variable listed in the SDTM Target column.","C99075","Further detailing the portion or totality of the location of the --TERM. This may be preprinted or collected."
"CDASH Model v1.3","Events",,"16","--PARTY","Accountable Party","The party accountable for the transferable object (e.g., device, specimen) as a result of the activity performed in the associated --TERM variable.",,"Who [is/was] the accountable party?","Accountable Party","Char","--PARTY","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology. The party could be an individual (e.g., subject), an organization (e.g., sponsor), or a location that is a proxy for an individual or organization (e.g., site). This is usually a somewhat general term that is further identified in the -- PRTYID variable (e.g., SITE, SPONSOR, SUBJECT)."
"CDASH Model v1.3","Events",,"17","--PRTYID","Identification of Accountable Party","Identification of the specific party accountable for the transferable object (e.g., device, specimen) after the action in -- TERM is taken.",,"What [is/was] the accountable party identifier?","Accountable Party ID","Char","--PRTYID","Maps directly to the SDTM variable listed in the SDTM Target column.","","Used in conjunction with --PARTY. This identifier is defined by the sponsor."
"CDASH Model v1.3","Events",,"18","--SEV","Severity/Intensity","The severity or intensity of the event.",,"What [is/was] the severity (of the event topic)?","Severity","Char","--SEV","Maps directly to the SDTM variable listed in the SDTM Target column.","","In the AE domain, AESEV uses CDISC Controlled Terminology (AESEV)."
"CDASH Model v1.3","Events",,"19","--ACN","Action Taken with Study Treatment","A description of the action taken with study treatment as a result of the event.",,"What action was taken with study treatment?","Action Taken with Study Treatment","Char","--ACN","Maps directly to the SDTM variable listed in the SDTM Target column.","C66767","How to handle multiple actions taken is a sponsor-specific decision. This variable is not to be used for actions taken with devices. See the SDTMIG-MD for information on reporting multiple actions and actions with multiple devices."
"CDASH Model v1.3","Events",,"20","--SER","Serious Event","An indication whether this event met the definition of serious.",,"[Is/Was] [the event topic/it] serious?","Serious","Char","--SER","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742",
"CDASH Model v1.3","Events",,"21","--SOD","Occurred with Overdose","An indication the serious event occurred with an overdose.",,"Did the adverse event occur with an overdose?","Overdose","Char","--SOD","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","Although deprecated, this variable is included for illustrative purposes if the sponsor is continuing to collect legacy data. If the details regarding an SAE are collected in the clinical database, then it is recommended that a separate Yes/No variable be defined for each SAE type."
"CDASH Model v1.3","Events",,"22","--SMIE","Other Medically Important Serious Event","An indication whether additional categories for seriousness apply.",,"[Is/Was] the adverse event a medically important event not covered by other ""serious"" criteria?","Other Serious (Important Medical Events)","Char","--SMIE","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","If the details regarding an SAE are collected in the clinical database, then it is recommended that a separate Yes/No variable be defined for each SAE type."
"CDASH Model v1.3","Events",,"23","--SCAN","Involves Cancer","An indication whether the serious event was associated with the development of cancer.",,"[Is/Was] the adverse event associated with the development of cancer?","Cancer","Char","--SCAN","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","If the details regarding an SAE are collected in the clinical database, then it is recommended that a separate Yes/No variable be defined for each SAE type."
"CDASH Model v1.3","Events",,"24","--SCONG","Congenital Anomaly or Birth Defect","An indication whether the serious adverse event (SAE) was associated with a congenital anomaly or birth defect.",,"[Is/Was] the adverse event associated with a congenital anomaly or birth defect?","Congenital Anomaly/Birth Defect","Char","--SCONG","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","If the details regarding an SAE are collected in the clinical database, then it is recommended that a separate Yes/No variable be defined for each SAE type."
"CDASH Model v1.3","Events",,"25","--SDISAB","Persist or Signif Disability/Incapacity","An indication whether the SAE was associated with a persistent or significant disability or incapacity.",,"Did the adverse event result in disability or permanent damage?","Disability or Permanent Damage","Char","--SDISAB","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","If the details regarding an SAE are collected in the clinical database, then it is recommended that a separate Yes/No variable be defined for each SAE type."
"CDASH Model v1.3","Events",,"26","--SDTH","Results in Death","An indication whether the SAE resulted in death.",,"Did the adverse event result in death?","Death","Char","--SDTH","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","If the details regarding an SAE are collected in the clinical database, then it is recommended that a separate Yes/No variable be defined for each SAE type."
"CDASH Model v1.3","Events",,"27","--SHOSP","Requires or Prolongs Hospitalization","An indication whether the SAE resulted in an initial or prolonged hospitalization.",,"Did the adverse event result in initial or prolonged hospitalization of the subject?","Hospitalization (Initial or Prolonged)","Char","--SHOSP","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","If the details regarding an SAE are collected in the clinical database, then it is recommended that a separate Yes/No variable be defined for each SAE type."
"CDASH Model v1.3","Events",,"28","--SLIFE","Is Life Threatening","An indication whether the SAE was life threatening.",,"[Is/Was] the adverse event life threatening?","Life Threatening","Char","--SLIFE","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742","If the details regarding an SAE are collected in the clinical database, then it is recommended that a separate Yes/No variable be defined for each SAE type."
"CDASH Model v1.3","Events",,"29","--ACNOTH","Other Action Taken","A description of other action(s) taken as a result of the event that are unrelated to dose adjustments of the study treatment.",,"What other action(s) [were/was] taken?","Other Actions Taken","Char","--ACNOTH","Maps directly to the SDTM variable listed in the SDTM Target column.","",
"CDASH Model v1.3","Events",,"30","--ACNDEV","Action Taken with Device","A description of the action taken, with respect to a device used in a study, which may or may not be the device under study, as a result of the event.",,"What action was taken with the device used in the study?","Action Taken with Device","Char","--ACNDEV","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology. This variable is intended to be used like --ACN, but refers to device rather than study treatment. See the SDTMIG-MD for information on reporting multiple actions and actions with multiple devices."
"CDASH Model v1.3","Events",,"31","--REL","Causality","The investigator's opinion as to the relationship of the event to the study treatment.",,"[Is/Was] this event related to study treatment?","Relationship to Study Treatment","Char","--REL","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED."
"CDASH Model v1.3","Events",,"32","--RELNST","Relationship to Non-Study Treatment","A description of the investigator's opinion as to whether the event may have been due to a treatment other than study treatment.",,"What [is/was] the relationship to non-study treatment?","Relationship to Non-Study Treatment","Char","--RELNST","Maps directly to the SDTM variable listed in the SDTM Target column.","","May be reported as free text. Example: ""MORE LIKELY RELATED TO ASPIRIN USE""."
"CDASH Model v1.3","Events",,"33","--PATT","Pattern of Event","A description of the pattern of the event over time.",,"What [is/was] the pattern of the event over time?","Pattern","Char","--PATT","Maps directly to the SDTM variable listed in the SDTM Target column.","","Sponsor-defined controlled terminology"
"CDASH Model v1.3","Events",,"34","--OUT","Outcome of Event","A description of the outcome of an event.",,"What [is/was] the outcome (of the event/event topic)?","Outcome","Char","--OUT","Maps directly to the SDTM variable listed in the SDTM Target column.","","CDISC Controlled Terminology (OUT) is used in the AE domain."
"CDASH Model v1.3","Events",,"35","--CONTRT","Concomitant or Additional Trtmnt Given","An indication whether a concomitant or additional was treatment given because of the occurrence of the event.",,"Was a concomitant or additional treatment given (due to this [event])?","Concomitant or Additional Trtmnt Given","Char","--CONTRT","Maps directly to the SDTM variable listed in the SDTM Target column.","C66742",
"CDASH Model v1.3","Events",,"36","--TOX","Toxicity","A description of toxicity quantified by --TOXGR (e.g., NCI CTCAE Short Name).",,,,"Char","--TOX","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the toxicity scale name and version used to map the terms utilizing the Define-XML external codelist attributes.","","If used, --TOX would be populated with the decoded value from --TOXGR. For example, if --TERM is HYPERTENSION, and --TOXGR is ""1"", --TOX is populated with ""Prehypertension (systolic BP 120 - 139 mm Hg or diastolic BP 80 - 89 mm Hg)""."
"CDASH Model v1.3","Events",,"37","--TOXGR","Toxicity Grade","The toxicity grade, using a standard toxicity scale (e.g., NCI CTCAE).",,"What [is/was] the [NCI CTCAE/Name of Scale] grade?","[NCI CTCAE Toxicity] Grade","Char","--TOXGR","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the toxicity scale name and version used to map the terms utilizing the Define-XML external codelist attributes.","","See ICH E3 Guidelines for CSR, Section 12.2.4.a CTCAE grade is commonly used in oncology studies although it can also be used elsewhere. Other published toxicity-like scales may be used."
"CDASH Model v1.3","Events",,"38","--ONGO","Ongoing Event","An indication whether the event is ongoing as of a given timepoint when no end date is provided.",,"[Is/Was] the [--TERM/event topic] ongoing (as of [the study-specific timepoint or period])?","Ongoing (as of the [Study-Specific Timepoint or Period])","Char","--ENRF; --ENRTPT","This does not map directly to an SDTM variable. May be used to populate a value into an SDTM relative timing variable such as --ENRF or --ENRTPT. When populating --ENRF, or --ENRTPT, if the value of the CDASH field --ONGO is ""Y"", a value from the CDISC CT (STENRF) may be used. When --ONGO refers to the study reference period (defined in DM.RFSTDTC to DM.RFENDTC), the SDTM variable --ENRF should be populated. When --ONGO is compared to another time point, the SDTM variables --ENRTPT and --ENTPT should be used. Note: --ENRTPT must refer to the time point anchor described in --ENTPT.","C66742","The CDASH field --ONGO allows specific question text/prompt about events ending prior to the given timepoint. Select the appropriate text when designing the CRF. This may also included in the CRF title or instructions. Used in conjunction with either a reference timepoint (--ENTPT, --ENRTPT) or in conjunction with the study reference period (described as RFSTDTC to RFENDTC). May also be used as a tick/checkbox. See CDASHIG Section 3.7 for more information."
"CDASH Model v1.3","Events",,"39","--DIS","Caused Study Discontinuation","An indication whether the event caused the subject to discontinue from the study.",,"Did the [--TERM/event topic] cause the subject to be discontinued from the study?","Caused Study Discontinuation","Char","QVAL","Does not map directly to an SDTM variable. For SDTM submission datasets, may be used to create a RELREC to link Event and Disposition records. The sponsor could submit ""--DIS"" in a SUPP-- dataset as a value of SUPP--.QVAL where SUPP--.QNAM is ""--DIS"" and SUPP--.QLABEL is ""Caused Study Discontinuation"", if appropriate.","C66742","May be used to create a RELREC to link the record to a Disposition record (see SDTMIG). The sponsor could submit ""--DIS"" in a SUPP-- dataset as a value of SUPP--.QVAL where SUPP--.QNAM is ""--DIS"" and SUPP--.QLABEL is ""Caused Study Discontinuation"", if appropriate."
"CDASH Model v1.3","Events",,"40","--CTRL","Disease or Symptom Under Control","An indication that the disease/symptoms were under control at the time of data collection.",,"[Is/Was] the [--TERM/event topic] under control?","[--TERM/Event Topic] Under Control","Char","QVAL","This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM is ""--CTRL"" and SUPP--.QLABEL is ""Disease or Symptom Under Control"". Refer to the current SDTM and SDTMIG for instructions on placement of non-standard variables (NSVs) in SDTM domains.","C66742","The conditions would typically be defined in the protocol. For example, a sponsor may ask the site to indicate whether a subject's hypertension is under control at the time of enrollment in the study."
"CDASH Model v1.3","Events",,"41","--REAS","Reason for the Event","A description of the reason for the event.",,"What [is/was] the reason (for the [--TERM/event topic])?","Reason for the [--TERM/Event Topic]","Char","QVAL","This information could be submitted in a SUPP-- dataset as the value of SUPP--.QVAL where SUPP--.QNAM is ""--REAS"" and SUPP--.QLABEL is ""Reason for the Event"". Refer to the current SDTM and SDTMIG for instructions on placement of NSVs in SDTM domains.","","To ensure data quality, it is recommended that sponsors develop controlled terminology. Reason for healthcare encounters could include LACK OF EFFICACY, ADVERSE EVENT, CHEMOTHERAPY, PHYSICAL THERAPY, INDICATION UNDER STUDY, NOT INDICATION UNDER STUDY."
"CDASH Model v1.3","Events",,"42","COVAL","Comment","A free-text comment.",,"[Protocol-specified Targeted Question]?","[abbreviated version of the protocol-specified targeted question]","Char","COVAL","This does not map directly to an SDTM variable. For the SDTM dataset, the CDASH variable COVAL maps to the SDTM variable COVAL (COVAL2, COVAL3) in the CO domain. Associate the free-text comment in the CO domain with the original record using RDOMAIN, IDVAR, IDVARVAL, COREF.","","If an additional free-text field is needed to provide a comment about a particular record, use the COVAL(n) field to collect the free text, and associate the free-text comment with the original record using SDTM variables RDOMAIN, IDVAR, IDVARVAL, COREF. See the SDTMIG for more information."
"CDASH Model v1.3","Events",,"43","--MODIFY","Modified Reported Term","If the value for --TERM is modified for coding purposes, then the modified text is placed here.",,,,"Char","--MODIFY","Maps directly to the SDTM variable listed in the SDTM Target column.","","This is not a data collection field that will appear on the CRF; sponsors will populate this through the coding process. Rationale for adding coding variables to CDASH is to provide a more complete data management package."
"CDASH Model v1.3","Events",,"44","--LLT","Lowest Level Term","The dictionary-derived text description of the lowest level term.",,,,"Char","--LLT","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the dictionary name and version used to code the event utilizing the Define-XML external codelist attributes. Sponsors should include an Origin column in the define metadata document to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process (e.g., using MedDRA). Rationale for adding coding variables to CDASH is to provide a more complete data management package."
"CDASH Model v1.3","Events",,"45","--LLTCD","Lowest Level Term Code","The dictionary-derived code for the lowest level term.",,,,"Num","--LLTCD","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the dictionary name and version used to code the event utilizing the Define-XML external codelist attributes. Sponsors should include an Origin column in the define metadata document to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process (e.g., using MedDRA). Rationale for adding coding variables to CDASH is to provide a more complete data management package."
"CDASH Model v1.3","Events",,"46","--PTCD","Preferred Term Code","The dictionary-derived code for the preferred term.",,,,"Num","--PTCD","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the dictionary name and version used to code the event utilizing the Define-XML external codelist attributes. Sponsors should include an Origin in the define metadata to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process (e.g., using MedDRA). Rationale for adding coding variables to CDASH is to provide a more complete data management package."
"CDASH Model v1.3","Events",,"47","--SOC","Primary System Organ Class","The dictionary-derived text description of the primary system organ class (SOC).",,,,"Char","--SOC","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the dictionary name and version used to code the event utilizing the Define-XML external codelist attributes. Sponsors should include an Origin column in the define metadata document to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process (e.g., using MedDRA). Rationale for adding coding variables to CDASH is to provide a more complete data management package."
"CDASH Model v1.3","Events",,"48","--SOCCD","Primary System Organ Class Code","The dictionary-derived code for the primary system organ class (SOC).",,,,"Num","--SOCCD","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the dictionary name and version used to code the event utilizing the Define-XML external codelist attributes. Sponsors should include an Origin column in the define metadata document to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process (e.g., using MedDRA). Rationale for adding coding variables to CDASH is to provide a more complete data management package."
"CDASH Model v1.3","Events",,"49","--HLT","High Level Term","The dictionary-derived text description of the high level term for the primary system organ class (SOC).",,,,"Char","--HLT","Maps directly to the SDTM variable listed in the SDTM Target column. The sponsor is expected to provide the dictionary name and version used to code the event utilizing the Define-XML external codelist attributes. Sponsors should include an Origin column in the define metadata document to indicate that the data was ""ASSIGNED"".","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process (e.g., using MedDRA). Rationale for adding coding variables to CDASH is to provide a more complete data management package."
